name,s,mux,muy,x,y,betx,bety,dx_zeta,dy_zeta
BPV.12908,2711.0711999999844,10.256416675062225,10.251555255125966,5.3069342947871446e-05,8.440358975960374e-23,21.207687285945237,102.03431226853012,5.2136862244563235e-05,6.606389208445503e-26
BPH.13008,2743.068899999983,10.388998115711617,10.361966413045465,-9.234719913591162e-05,-1.1013807924358111e-23,101.6803792576969,21.100604701621556,0.0001014337099050151,2.0488584330881974e-26
BPV.13108,2775.066599999982,10.49941089499751,10.494349423037505,-0.00010287654691010215,-1.356307578911411e-22,21.185139530662223,102.37322329062502,1.748069584908976e-05,-5.987399338605007e-27
BPH.13208,2807.0642999999804,10.630990147334542,10.604262454432174,-0.0002474733320896274,-7.387462887237372e-23,102.96821686794037,21.189940869152434,-5.725321465199598e-05,-2.128750427415943e-26
BPVC.13305,2838.4319999999807,10.735739715061861,10.735550764851503,-6.781761062374133e-05,-9.659393275393904e-23,21.97613731679122,99.19132843451443,-5.0619948154825484e-05,-6.159438060371846e-26
BPV.13308,2839.061999999981,10.74038043120738,10.736547332495851,-6.381419579337638e-05,-9.716177049659038e-23,21.248118656447758,102.05631380185379,-5.0390508727498574e-05,-6.243974655072496e-26
BPH.13408,2871.0596999999807,10.872784494785561,10.84695923800647,6.665394542860314e-05,4.065660995058668e-24,101.69287099353716,21.095817476731057,-0.00010722680792480729,-2.0013388442348677e-26
BPV.13508,2903.0573999999815,10.983313297560311,10.979382961193576,9.605572787271096e-05,1.2649214696085579e-22,21.14593866843508,102.34782512276712,-2.2559218272726332e-05,3.572747580773776e-27
BPH.13608,2935.055099999982,11.11506838778989,11.089337323405191,0.00025345312992216477,7.423628465656234e-23,102.94929860531313,21.182314840183924,4.646712909524569e-05,2.510477067532012e-26
BPV.20108,2967.0527999999813,11.224438994275669,11.221609136175363,7.307436656592953e-05,1.0902184833898883e-22,21.258776436820447,102.10759627157256,4.811026166413527e-05,8.51486167066629e-26
BPH.20203,2997.503499999981,11.354261435694006,11.320790539603236,-3.664075772561845e-05,8.443628625264486e-24,94.8055355278985,22.93742685498924,0.00010859941054714144,2.4494470905693e-26
BPH.20208,2999.0504999999807,11.356768629684803,11.331993073521485,-4.1974707356276304e-05,2.8981625066552168e-24,101.72914559384293,21.094072124473524,0.00011187227314409668,2.109095811129276e-26
BPV.20308,3031.048199999981,11.467291045061955,11.464472991701093,-8.911267110445826e-05,-1.1626168753595967e-22,21.139804049507905,102.29225770824955,2.7397541772485346e-05,-2.476827783252347e-26
BPHT.20406,3062.193899999981,11.59778291427208,11.568135358008506,-0.0002536830582264022,-7.538142929293017e-23,98.98220622717677,22.19134510679583,-3.357487055604136e-05,-2.73506779416972e-26
BPH.20408,3063.045899999981,11.599126645263574,11.574387754978469,-0.00025839377557703764,-7.39998538463524e-23,102.88297549498702,21.206367233490596,-3.519654023304344e-05,-2.736309170951288e-26
BPV.20505,3094.413599999981,11.703847632403006,11.705520200036279,-8.627889444695458e-05,-1.1901861604000989e-22,22.004538670498413,99.29420078530195,-4.521174272280628e-05,-6.46911581109273e-26
BPV.20508,3095.043599999981,11.708482197914014,11.706515740576993,-8.240745638157656e-05,-1.2003680522178295e-22,21.27700886171225,102.16105130959606,-4.5351944614321625e-05,-6.548515948566338e-26
BPH.20608,3127.0412999999808,11.840681761298663,11.816904087477118,1.52728454804191e-05,-9.889968158423707e-24,101.7929729222703,21.0816940571761,-0.00011541530645533998,-1.6628810508389307e-26
BPVC.20705,3158.4089999999815,11.946558028202029,11.948487671601633,7.920138372210142e-05,1.0269590213667791e-22,21.829600364023534,99.3600533285905,-3.378164492147579e-05,1.792615056648236e-26
BPV.20708,3159.0389999999816,11.951228512603786,11.949482515879266,8.044981917732937e-05,1.0495409172238827e-22,21.119214075577563,102.23629492637302,-3.195684246329364e-05,1.859897719144888e-26
BPH.20808,3191.0366999999815,12.083201640787962,12.059433745038795,0.0002591975658345666,7.306861418654755e-23,102.82076510745853,21.206437723984013,2.359280181320195e-05,2.5823530911390153e-26
BPCN.20902,3221.4681999999816,12.181350053527815,12.188972980323634,9.939167478211236e-05,1.268814327102616e-22,23.179109119103558,95.19136743601008,4.132990832318627e-05,6.665385883608015e-26
